Designator,Mid X,Mid Y,Layer,Rotation
C18,405.90,-23.55,T,270.00
C19,417.40,-46.10,T,90.00
C21,438.90,-7.30,T,90.00
J35,419.46,-90.50,T,0.00
J36,437.00,-27.84,T,90.00
J37,437.00,-22.76,T,90.00
J38,437.00,-17.68,T,90.00
J39,437.00,-12.60,T,90.00
J40,475.29,-34.33,T,180.00
J41,492.76,-34.29,T,180.00
J50,448.89,-42.55,T,0.00
J51,453.97,-42.47,T,0.00
J52,459.05,-42.47,T,0.00
J53,464.13,-42.47,T,0.00
J54,469.21,-42.47,T,0.00
J55,426.10,-48.50,T,0.00
J56,413.00,-95.50,T,0.00
J57,485.12,-4.50,T,0.00
J58,405.46,-95.50,T,0.00
J59,493.40,-4.50,T,0.00
J65,474.29,-42.55,T,0.00
J69,436.19,-42.56,T,0.00
J70,441.27,-42.56,T,0.00
J71,446.35,-42.56,T,0.00
J72,426.20,-32.23,T,0.00
J82,479.37,-42.55,T,0.00
J83,405.00,-54.00,T,180.00
J84,497.00,-54.00,T,180.00
J87,495.34,-77.00,T,90.00
R33,471.50,-9.40,T,0.00
RN1,480.06,-36.83,T,90.00
RN2,487.68,-36.83,T,90.00
RV3,412.00,-4.05,T,0.00
RV4,411.50,-23.45,T,0.00
RV5,480.10,-90.20,T,0.00
RV6,497.40,-65.10,T,180.00
SW8,429.40,-4.30,T,0.00
U10,407.68,-65.60,T,0.00
U11,460.10,-2.00,T,270.00
