Comment,Designator,Footprint,LCSC
VCC,"J56,J57",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
GND,"J58,J59",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
100nF,"C18,C21",Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,
Conn_02x18_Odd_Even,"J50,J51,J52,J53,J54,J65,J82",Connector_PinHeader_2.54mm:PinHeader_2x18_P2.54mm_Vertical,
4069,U10,Package_DIP:DIP-14_W7.62mm,
R_Network08,"RN1,RN2",Resistor_THT:R_Array_SIP9,
Osc Out,J35,Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
Conn_02x12_Odd_Even,"J36,J37,J38,J39",Connector_PinSocket_2.54mm:PinSocket_2x12_P2.54mm_Vertical,
Output,"J83,J84",Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,
Conn_02x18_Odd_Even,"J69,J70,J71",Connector_PinSocket_2.54mm:PinSocket_2x18_P2.54mm_Vertical,
R_Potentiometer_Small,"RV3,RV4,RV5,RV6",Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,
AudioJack3,J87,Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal,
Conn_01x08,"J40,J41",Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,
01x18 from bottom plate,J55,Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical,
4040 Clk Rst,J72,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
Default Clock,SW8,Button_Switch_THT:SW_E-Switch_EG1271_SPDT,
1uF,C19,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,
4040,U11,Package_DIP:DIP-16_W7.62mm,
100K,R33,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
