Comment,Designator,Footprint,LCSC
VCC,"J1,J2",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
GND,"J3,J4",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
100nF,"C8,C9,C10,C11,C12,C13,C14,C16,C17",Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,
10uF,"C7,C15",Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,
Output,"J31,J32",Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,
1uF,"C1,C4",Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,
4040,"U2,U7",Package_DIP:DIP-16_W7.62mm,
100K,"R2,R3,R4,R5,R7,R8,R11,R12,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28",Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
Chain,SW5,Button_Switch_THT:SW_E-Switch_EG1271_SPDT,
4520,U4,Package_DIP:DIP-16_W7.62mm,
4017 Fdbk,"J29,J30",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
4046 CompIn,"SW1,SW7",Button_Switch_THT:SW_E-Switch_EG1271_SPDT,
4046 Comp In,"J15,J16",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
4017 Pins,"J33,J34",Connector_PinSocket_2.54mm:PinSocket_2x11_P2.54mm_Vertical,
Select,"J11,J12",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
4046 Comp,"J8,J10",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
2N3904,"Q1,Q2,Q3,Q4",Package_TO_SOT_THT:TO-92_Inline_Wide,
4053 C,"J23,J24",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
Inh,"J13,J14",Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,
100k,"R1,R6,R31,R32",Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
4040 Input,"J19,J20",Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
4017 Feedback,"SW3,SW4",Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight,
4040 Output,"J27,J28",Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical,
Input,"J5,J6",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
4053 C0 C1,"J25,J26",Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical,
4046 Out,"J17,J18",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
4053 S3,"J21,J22",Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,
4046 SigIn,"J7,J9",Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,
4017,"U1,U8",Package_DIP:DIP-16_W7.62mm,
PLL Type,"SW2,SW6",Button_Switch_THT:SW_E-Switch_EG1271_SPDT,
4046,"U3,U9",Package_DIP:DIP-16_W7.62mm,
100k,"R9,R10,R29,R30",Potentiometer_THT:Potentiometer_Alps_RK097_Single_Horizontal,
1uF,"C3,C6",Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,
C1,"C2,C5",Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,
2K,"RV1,RV2",Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,
CD4053B,"U5,U6",Package_DIP:DIP-16_W7.62mm,
