Designator,Mid X,Mid Y,Layer,Rotation
C1,12.00,-80.50,T,0.00
C2,19.00,-72.50,T,0.00
C3,47.10,-93.50,T,0.00
C4,87.90,-19.50,T,180.00
C5,80.90,-27.50,T,180.00
C6,52.80,-6.50,T,180.00
C7,11.60,-90.50,T,180.00
C8,4.90,-64.50,T,270.00
C9,38.40,-55.50,T,270.00
C10,51.15,-70.00,T,180.00
C11,48.90,-30.00,T,0.00
C12,93.40,-62.25,T,90.00
C13,68.40,-81.00,T,270.00
C14,6.90,-37.50,T,270.00
C15,88.19,-10.50,T,0.00
C16,31.40,-18.75,T,90.00
C17,94.90,-35.50,T,90.00
J1,13.00,-95.50,T,0.00
J2,85.12,-4.50,T,0.00
J3,5.46,-95.50,T,0.00
J4,93.40,-4.50,T,0.00
J5,80.44,-9.50,T,180.00
J6,19.46,-90.50,T,0.00
J7,86.94,-16.00,T,180.00
J8,61.44,-13.35,T,180.00
J9,12.96,-84.00,T,0.00
J10,38.66,-87.40,T,0.00
J11,80.17,-4.50,T,180.00
J12,19.73,-95.50,T,0.00
J13,70.40,-20.50,T,180.00
J14,29.50,-79.50,T,0.00
J15,70.44,-16.50,T,180.00
J16,29.46,-83.50,T,0.00
J17,60.94,-8.35,T,180.00
J18,38.96,-91.65,T,0.00
J19,33.90,-37.73,T,0.00
J20,66.00,-62.27,T,180.00
J21,40.40,-14.50,T,180.00
J22,59.50,-85.50,T,0.00
J23,40.86,-19.85,T,0.00
J24,59.04,-80.15,T,180.00
J25,58.12,-18.57,T,0.00
J26,41.77,-81.42,T,180.00
J27,33.48,-28.00,T,270.00
J28,66.42,-72.00,T,90.00
J29,42.94,-9.50,T,180.00
J30,56.96,-90.50,T,0.00
J31,5.00,-54.00,T,180.00
J32,97.00,-54.00,T,180.00
J33,32.02,-4.54,T,270.00
J34,67.88,-95.46,T,90.00
Q1,81.44,-14.14,T,180.00
Q2,18.46,-85.86,T,0.00
Q3,78.94,-19.14,T,180.00
Q4,20.96,-80.86,T,0.00
R1,90.48,-23.50,T,180.00
R2,97.50,-75.92,T,270.00
R3,64.92,-89.50,T,0.00
R4,79.92,-89.50,T,0.00
R5,80.50,-54.00,T,180.00
R6,34.90,-13.92,T,270.00
R7,21.42,-58.00,T,0.00
R8,24.92,-75.50,T,0.00
R9,39.50,-98.00,T,90.00
R10,55.50,-98.00,T,90.00
R11,68.42,-75.50,T,0.00
R12,62.40,-63.08,T,90.00
R15,64.32,-49.50,T,0.00
R16,37.82,-39.00,T,0.00
R17,34.90,-55.34,T,270.00
R18,57.06,-42.50,T,180.00
R19,44.08,-69.30,T,180.00
R20,31.48,-24.50,T,180.00
R21,38.40,-22.92,T,270.00
R22,59.40,-24.42,T,270.00
R23,19.40,-46.00,T,0.00
R24,2.40,-24.08,T,90.00
R25,34.98,-10.50,T,180.00
R26,19.98,-10.50,T,180.00
R27,78.48,-42.00,T,180.00
R28,74.98,-24.50,T,180.00
R29,60.40,-2.00,T,270.00
R30,44.40,-2.00,T,270.00
R31,9.42,-76.50,T,0.00
R32,65.00,-86.08,T,90.00
RV1,3.50,-80.08,T,270.00
RV2,96.40,-19.92,T,90.00
SW1,71.90,-12.00,T,180.00
SW2,11.00,-54.50,T,0.00
SW3,71.90,-5.80,T,180.00
SW4,28.00,-94.20,T,0.00
SW5,35.50,-47.00,T,0.00
SW6,88.90,-45.50,T,180.00
SW7,28.00,-88.00,T,0.00
U1,71.34,-86.12,T,90.00
U2,90.39,-57.20,T,270.00
U3,7.92,-69.50,T,90.00
U4,41.11,-60.50,T,90.00
U5,45.88,-72.61,T,0.00
U6,54.02,-27.39,T,180.00
U7,9.51,-42.80,T,90.00
U8,28.56,-13.88,T,270.00
U9,91.98,-30.50,T,270.00
